City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
0,Chuy,-33.69,-53.46,60.85,83,3,11.27,UY,clear sky,0.0,0.0,2019-11-11 00:19:37
1,Arraial Do Cabo,-22.97,-42.02,77.0,88,75,5.82,BR,broken clouds,0.0,0.0,2019-11-11 00:19:57
2,Ushuaia,-54.81,-68.31,57.2,47,6,13.87,AR,clear sky,0.0,0.0,2019-11-11 00:19:14
3,Geraldton,49.72,-86.95,1.4,77,20,5.82,CA,few clouds,0.0,0.0,2019-11-11 00:19:35
4,Tiznit,29.7,-9.73,54.25,53,17,1.57,MA,few clouds,0.0,0.0,2019-11-11 00:19:59
5,Sitka,37.17,-99.65,55.0,46,100,9.37,US,overcast clouds,0.0,0.0,2019-11-11 00:19:50
6,Aranda De Duero,41.67,-3.69,34.95,91,56,7.76,ES,broken clouds,0.0,0.0,2019-11-11 00:21:31
7,Buchanan,5.88,-10.05,78.8,94,75,2.48,LR,broken clouds,0.0,0.0,2019-11-11 00:21:31
8,Port Alfred,-33.59,26.89,63.0,96,100,5.01,ZA,light rain,0.56,0.0,2019-11-11 00:19:28
9,Albany,42.65,-73.75,44.01,91,90,3.09,US,overcast clouds,0.0,0.0,2019-11-11 00:19:12
10,Piacabucu,-10.41,-36.43,77.09,80,42,9.71,BR,scattered clouds,0.0,0.0,2019-11-11 00:20:11
11,Portland,43.66,-70.25,44.6,45,90,6.93,US,overcast clouds,0.0,0.0,2019-11-11 00:21:02
12,Meadow Lake,54.13,-108.44,3.2,71,75,8.05,CA,broken clouds,0.0,0.0,2019-11-11 00:17:34
13,Kokopo,-4.34,152.27,82.13,79,99,13.18,PG,overcast clouds,0.0,0.0,2019-11-11 00:21:32
14,Narsaq,60.91,-46.05,33.8,80,100,32.21,GL,light snow,0.0,0.0,2019-11-11 00:19:40
15,Jimeta,9.28,12.44,81.55,34,16,2.04,NG,few clouds,0.0,0.0,2019-11-11 00:21:32
16,Salalah,17.01,54.1,75.2,69,0,4.7,OM,clear sky,0.0,0.0,2019-11-11 00:19:48
17,Cayenne,4.94,-52.33,80.6,83,80,2.24,GF,broken clouds,0.0,0.0,2019-11-11 00:18:01
18,Castro,-42.48,-73.76,55.4,82,99,5.82,CL,overcast clouds,0.0,0.0,2019-11-11 00:19:47
19,Belmonte,40.36,-7.35,50.0,96,100,4.72,PT,light rain,0.19,0.0,2019-11-11 00:21:32
20,Georgetown,6.8,-58.16,82.4,83,75,6.93,GY,broken clouds,0.0,0.0,2019-11-11 00:17:10
21,Svetlogorsk,53.14,59.15,15.8,92,77,3.44,RU,mist,0.0,0.0,2019-11-11 00:21:33
22,Mocuba,-16.84,36.99,74.05,88,68,3.67,MZ,broken clouds,0.0,0.0,2019-11-11 00:21:33
23,Hilo,19.71,-155.08,87.8,55,20,10.29,US,few clouds,0.0,0.0,2019-11-11 00:19:27
24,Fortuna,40.6,-124.16,61.0,82,1,10.29,US,clear sky,0.0,0.0,2019-11-11 00:20:16
25,Muswellbrook,-32.27,150.89,77.0,34,23,5.99,AU,few clouds,0.0,0.0,2019-11-11 00:21:33
26,Khatanga,71.98,102.47,-2.3,97,100,8.99,RU,light snow,0.0,0.31,2019-11-11 00:15:23
27,Verkhoyansk,67.55,133.39,-13.87,90,100,1.05,RU,overcast clouds,0.0,0.0,2019-11-11 00:21:33
28,Dingle,11.0,122.67,78.91,76,84,1.41,PH,broken clouds,0.0,0.0,2019-11-11 00:19:33
29,Kapaa,22.08,-159.32,80.6,94,90,10.29,US,moderate rain,0.0,0.0,2019-11-11 00:19:26
30,Mahebourg,-20.41,57.7,71.01,94,40,5.82,MU,scattered clouds,0.0,0.0,2019-11-11 00:20:01
