City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,Aksarka,66.56,67.8,0.27,94,91,4.32,RU,11/9/2019 18:32
263,Srednekolymsk,67.46,153.71,1.38,95,100,9.4,RU,11/9/2019 18:23
34,Dikson,73.51,80.55,1.63,96,77,5.59,RU,11/9/2019 18:22
164,Labytnangi,66.66,66.39,1.78,92,98,5.37,RU,11/9/2019 18:27
177,Magdagachi,53.45,125.8,2.53,95,68,4.41,RU,11/9/2019 18:32
37,Inuvik,68.36,-133.71,3.2,77,20,10.29,CA,11/9/2019 18:31
42,Thompson,55.74,-97.86,3.2,77,75,6.93,CA,11/9/2019 18:22
96,Tuktoyaktuk,69.44,-133.03,3.2,77,20,17.22,CA,11/9/2019 18:22
326,Aklavik,68.22,-135.01,3.2,77,20,14.99,CA,11/9/2019 18:27
317,Motygino,58.18,94.69,3.49,92,100,9.19,RU,11/9/2019 18:32
449,Naryan-Mar,67.67,53.09,4.28,90,16,6.69,RU,11/9/2019 18:32
38,Alta,69.97,23.27,5,84,0,11.41,NO,11/9/2019 18:30
166,Iqaluit,63.75,-68.52,5,77,40,6.93,CA,11/9/2019 18:17
41,Pevek,69.7,170.27,5.2,91,54,7.14,RU,11/9/2019 18:23
45,Zhigansk,66.77,123.37,5.94,87,100,19.55,RU,11/9/2019 18:23
145,Fort Nelson,58.81,-122.69,6.8,77,90,8.05,CA,11/9/2019 18:32
415,Whitehorse,60.72,-135.06,6.8,77,40,2.24,CA,11/9/2019 18:29
66,Chernyshevskiy,63.01,112.47,8.22,97,80,5.68,RU,11/9/2019 18:31
89,Okhotsk,59.36,143.24,8.22,72,82,17.96,RU,11/9/2019 18:30
174,Vagamo,61.88,9.1,8.22,95,97,1.57,NO,11/9/2019 18:32
397,Izhma,65.01,53.91,8.67,94,26,2.13,RU,11/9/2019 18:32
184,Kholmy,56.41,85.03,9,84,40,2.24,RU,11/9/2019 18:32
288,Esso,55.93,158.7,9.21,97,100,4.59,RU,11/9/2019 18:32
264,Ust-Ilimsk,57.96,102.73,9.57,90,100,10.13,RU,11/9/2019 18:32
141,Upernavik,72.79,-56.15,10.35,77,58,8.97,GL,11/9/2019 18:22
161,Ostrovnoy,68.05,39.51,11.14,94,95,4.07,RU,11/9/2019 18:30
486,Vostok,46.45,135.83,11.34,74,0,5.75,RU,11/9/2019 18:32
289,Bakchar,57.02,82.07,11.57,69,3,5.88,RU,11/9/2019 18:32
76,Kolyvan,55.31,82.74,12.2,85,90,6.71,RU,11/9/2019 18:31
218,La Ronge,55.1,-105.3,12.2,66,75,11.41,CA,11/9/2019 18:21
493,Chik,54.99,82.44,12.2,85,90,6.71,RU,11/9/2019 18:32
523,Flin Flon,54.77,-101.88,12.2,78,90,12.75,CA,11/9/2019 18:23
251,Koslan,63.46,48.9,12.33,90,85,2.86,RU,11/9/2019 18:32
150,The Pas,53.82,-101.24,15.8,78,90,10.29,CA,11/9/2019 18:23
448,Bonnyville,54.27,-110.74,15.8,72,90,8.05,CA,11/9/2019 18:32
515,Nizhnyaya Tavda,57.67,66.17,16.68,76,94,2.98,RU,11/9/2019 18:33
344,Lamont,53.76,-112.78,17.01,85,100,5.5,CA,11/9/2019 18:32
47,Mehamn,71.03,27.85,17.08,83,0,5.28,NO,11/9/2019 18:23
330,Kyren,51.68,102.13,17.26,65,46,5.19,RU,11/9/2019 18:32
203,Nyurba,63.29,118.35,17.6,97,99,4.56,RU,11/9/2019 18:23
205,Verkh-Chebula,56.03,87.61,17.6,73,99,8.39,RU,11/9/2019 18:32
245,Kuytun,54.34,101.51,17.76,73,100,15.79,RU,11/9/2019 18:32
428,Irbeyskoye,55.64,95.45,18.3,69,100,11.41,RU,11/9/2019 18:32
476,Leningradskiy,69.38,178.42,18.54,67,69,8.59,RU,11/9/2019 18:23
505,Genhe,50.78,121.52,18.75,91,95,2.44,CN,11/9/2019 18:23
51,Geraldton,49.72,-86.95,19.4,79,90,4.45,CA,11/9/2019 18:23
343,Krutinka,56.01,71.51,19.44,58,7,7.74,RU,11/9/2019 18:23
64,Watrous,51.67,-105.46,19.6,89,100,13.29,CA,11/9/2019 18:31
178,College,64.86,-147.8,19.99,91,1,5.37,US,11/9/2019 18:30
238,Makinsk,52.63,70.42,20.21,92,100,19.3,KZ,11/9/2019 18:32
510,Alihe,50.57,123.73,20.37,89,81,0.36,CN,11/9/2019 18:33
522,Ola,59.58,151.3,20.48,61,100,18.28,RU,11/9/2019 18:23
455,Karatuzskoye,53.61,92.87,21.29,81,100,3.29,RU,11/9/2019 18:32
204,Verkhnyaya Toyma,62.24,45,21.4,95,100,5.57,RU,11/9/2019 18:32
230,Magistralnyy,56.17,107.45,21.99,74,100,13.29,RU,11/9/2019 18:32
282,Beringovskiy,63.05,179.32,22.98,94,100,9.66,RU,11/9/2019 18:32
112,Anadyr,64.73,177.51,23,85,90,6.71,RU,11/9/2019 18:31
234,Davidson,51.26,-105.98,23,92,98,11.01,CA,11/9/2019 18:32
491,Borovskoy,53.8,64.15,23.38,57,0,8.9,KZ,11/9/2019 18:32
138,Arman,59.7,150.17,24.1,68,100,23.55,RU,11/9/2019 18:29
275,Biysk,52.54,85.21,24.19,83,100,5.82,RU,11/9/2019 18:32
175,Palana,59.08,159.95,24.24,75,91,4.21,RU,11/9/2019 18:32
363,Pyaozerskiy,65.83,31.17,24.3,94,100,15.64,RU,11/9/2019 18:32
57,Longyearbyen,78.22,15.63,24.8,73,90,23.04,NO,11/9/2019 18:22
394,Pangnirtung,66.15,-65.72,24.8,62,90,3.36,CA,11/9/2019 18:23
313,Poronaysk,49.22,143.1,24.91,67,0,9.69,RU,11/9/2019 18:32
129,Blagoveshchenka,52.83,79.87,25.23,62,100,11.3,RU,11/9/2019 18:31
469,Priargunsk,50.37,119.09,25.86,78,100,2.86,RU,11/9/2019 18:32
499,Sovetskaya Gavan,48.97,140.29,25.92,57,0,20.09,RU,11/9/2019 18:32
168,Sept-Iles,50.2,-66.38,26.01,41,75,14.99,CA,11/9/2019 18:20
356,Kjopsvik,68.1,16.37,26.01,84,0,12.75,NO,11/9/2019 18:32
252,Gamba,28.28,88.52,26.28,56,100,3.6,CN,11/9/2019 18:23
118,Bakaly,55.18,53.8,26.29,66,5,2.13,RU,11/9/2019 18:31
98,Hovd,63.83,10.7,26.6,68,75,6.93,NO,11/9/2019 18:31
122,Bethel,60.79,-161.76,26.6,92,1,11.41,US,11/9/2019 18:22
474,Petropavlovsk-Kamchatskiy,53.05,158.65,26.6,100,75,2.33,RU,11/9/2019 18:23
389,Husavik,50.56,-96.99,27,85,100,8.01,CA,11/9/2019 18:28
395,Gimli,50.63,-96.99,27,85,100,7,CA,11/9/2019 18:32
371,Preobrazheniye,42.9,133.91,27.82,37,0,4.45,RU,11/9/2019 18:32
173,Bolgar,54.97,49.03,28.4,79,90,4.47,RU,11/9/2019 18:32
324,Baie-Comeau,49.22,-68.15,28.4,36,75,17.22,CA,11/9/2019 18:32
309,Sisimiut,66.94,-53.67,28.92,47,95,19.15,GL,11/9/2019 18:32
362,Bulgan,48.81,103.53,30.06,63,56,10.85,MN,11/9/2019 18:28
226,Key West,47.93,-96.78,30.2,80,1,5.82,US,11/9/2019 18:20
151,Berlevag,70.86,29.09,30.87,72,86,5.82,NO,11/9/2019 18:23
482,Saint-Georges,46.12,-70.67,30.99,78,87,5.01,CA,11/9/2019 18:23
163,Thunder Bay,48.41,-89.26,32,74,90,10.29,CA,11/9/2019 18:30
172,Devils Lake,48.11,-98.87,32,99,90,3.36,US,11/9/2019 18:32
502,Bud,62.91,6.91,32,62,0,10.29,NO,11/9/2019 18:32
187,Severo-Kurilsk,50.68,156.12,32.2,85,83,26.06,RU,11/9/2019 18:23
299,Sorland,67.67,12.69,32.41,65,61,16.75,NO,11/9/2019 18:22
220,Vaasa,63.1,21.62,33.01,92,90,11.41,FI,11/9/2019 18:32
221,Kenai,60.55,-151.26,33.01,92,1,7.31,US,11/9/2019 18:32
257,Varhaug,58.61,5.65,33.01,59,40,5.17,NO,11/9/2019 18:28
50,Provideniya,64.42,-173.23,33.13,98,100,3.56,RU,11/9/2019 18:22
388,Little Current,45.98,-81.93,33.8,86,90,20.8,CA,11/9/2019 18:32
188,Kristinehamn,59.31,14.11,34,88,100,9.17,SE,11/9/2019 18:32
347,New Glasgow,45.59,-62.65,34,75,67,11.99,CA,11/9/2019 18:28
279,Bashmakovo,53.21,43.04,34.54,79,41,10.31,RU,11/9/2019 18:32
342,Lavrentiya,65.58,-170.99,34.59,98,100,6.08,RU,11/9/2019 18:23
517,Paamiut,61.99,-49.67,34.86,83,100,5.7,GL,11/9/2019 18:33
119,Ayan,38.23,44.7,35.67,36,0,1.66,IR,11/9/2019 18:29
308,Ozinki,51.2,49.73,35.8,70,100,11.16,RU,11/9/2019 18:32
18,Saint-Philippe,45.36,-73.48,36,65,90,11.41,CA,11/9/2019 18:22
140,Saint-Augustin,45.63,-73.98,36,69,90,11.41,CA,11/9/2019 18:22
430,Yarmouth,43.84,-66.12,36,59,75,6.93,CA,11/9/2019 18:30
516,Maniitsoq,65.42,-52.9,36.28,51,74,21.79,GL,11/9/2019 18:23
46,Nanortalik,60.14,-45.24,36.57,72,100,51.79,GL,11/9/2019 18:22
435,Shizukuishi,39.7,140.98,36.88,86,79,3.56,JP,11/9/2019 18:32
31,Torbay,47.66,-52.73,37,55,75,39.15,CA,11/9/2019 18:22
63,Tasiilaq,65.61,-37.64,37.4,64,100,29.97,GL,11/9/2019 18:22
410,Klaksvik,62.23,-6.59,37.4,86,100,11.41,FO,11/9/2019 18:27
176,Kangaatsiaq,68.31,-53.46,37.54,52,100,30.96,GL,11/9/2019 18:32
460,Jumla,29.28,82.18,37.69,84,0,4.05,NP,11/9/2019 18:32
22,Albany,42.65,-73.75,37.99,44,1,6.93,US,11/9/2019 18:22
101,Halifax,44.65,-63.58,37.99,68,40,9.17,CA,11/9/2019 18:27
242,Shirokiy,53.87,39.17,37.99,88,65,4,RU,11/9/2019 18:32
