City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nadym,65.53,72.51,-4.15,98,83,6.85,RU,2019-11-09 18:31:41
1,Kapaa,22.08,-159.32,71.6,93,75,11.41,US,2019-11-09 18:22:40
2,Santa Fe,-31.62,-60.7,86.0,56,68,5.01,AR,2019-11-09 18:23:34
3,Healesville,-37.65,145.52,54.0,81,90,12.75,AU,2019-11-09 18:31:41
4,Yellowknife,62.45,-114.38,-9.01,69,20,11.41,CA,2019-11-09 18:22:39
5,Guangyuan,32.43,105.86,47.21,77,68,4.7,CN,2019-11-09 18:31:42
6,Mitsamiouli,-11.38,43.28,82.4,69,20,12.75,KM,2019-11-09 18:22:14
7,Kaihua,29.14,118.41,48.94,73,83,0.74,CN,2019-11-09 18:31:42
8,Mar Del Plata,-46.43,-67.52,52.52,44,0,13.8,AR,2019-11-09 18:22:52
9,Carnarvon,-30.97,22.13,75.94,17,100,16.62,ZA,2019-11-09 18:22:10
10,Ponta Do Sol,-20.63,-46.0,86.07,49,0,7.29,BR,2019-11-09 18:22:45
11,Saldanha,41.42,-6.55,44.04,96,91,8.57,PT,2019-11-09 18:22:38
12,Bako,12.29,-0.73,90.28,18,100,5.03,BF,2019-11-09 18:31:43
13,Avarua,-21.21,-159.78,73.4,83,43,12.75,CK,2019-11-09 18:31:43
14,Atuona,-9.8,-139.03,79.32,75,8,13.47,PF,2019-11-09 18:22:10
15,Arraial Do Cabo,-22.97,-42.02,80.6,78,75,14.99,BR,2019-11-09 18:18:18
16,Butaritari,3.07,172.79,83.86,67,100,4.7,KI,2019-11-09 18:22:50
17,Mataura,-46.19,168.86,48.99,92,100,5.01,NZ,2019-11-09 18:22:11
18,Saint-Philippe,45.36,-73.48,36.0,65,90,11.41,CA,2019-11-09 18:22:45
19,Lorengau,-2.02,147.27,83.37,77,100,14.0,PG,2019-11-09 18:23:26
20,Hermanus,-34.42,19.24,71.01,80,6,11.01,ZA,2019-11-09 18:22:16
21,Busselton,-33.64,115.35,66.99,62,0,18.77,AU,2019-11-09 18:22:11
22,Albany,42.65,-73.75,37.99,44,1,6.93,US,2019-11-09 18:22:09
23,Tiksi,71.64,128.87,-11.4,97,85,5.19,RU,2019-11-09 18:23:12
24,New Norfolk,-42.78,147.06,48.99,66,40,10.29,AU,2019-11-09 18:22:14
25,Saint-Leu,-21.15,55.28,73.4,73,100,4.7,RE,2019-11-09 18:23:39
26,Port Alfred,-33.59,26.89,66.0,78,100,10.0,ZA,2019-11-09 18:22:10
27,Nikolskoye,59.7,30.79,39.2,93,90,6.71,RU,2019-11-09 18:22:44
28,Hithadhoo,-0.6,73.08,82.02,77,18,10.22,MV,2019-11-09 18:22:38
29,Port Elizabeth,39.31,-74.98,45.0,26,1,3.36,US,2019-11-09 18:22:14
30,Henties Bay,-22.12,14.28,60.01,89,0,3.0,NA,2019-11-09 18:29:19
31,Torbay,47.66,-52.73,37.0,55,75,39.15,CA,2019-11-09 18:22:39
32,Rikitea,-23.12,-134.97,73.42,77,100,8.66,PF,2019-11-09 18:22:38
33,Jacareacanga,-6.22,-57.76,96.69,36,95,2.84,BR,2019-11-09 18:31:45
34,Dikson,73.51,80.55,1.63,96,77,5.59,RU,2019-11-09 18:22:42
35,Marawi,8.0,124.29,75.99,89,34,5.01,PH,2019-11-09 18:28:58
36,Bambous Virieux,-20.34,57.76,73.99,83,75,5.82,MU,2019-11-09 18:23:04
37,Inuvik,68.36,-133.71,3.2,77,20,10.29,CA,2019-11-09 18:31:46
